Geoname ID;Name;ASCII Name;Alternate Names;Feature Class;Feature Code;Country Code;Country name EN;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;LABEL EN;Coordinates
2807696;Wintersdorf;Wintersdorf;Wintersdorf;P;PPL;DE;Germany;;15;00;16077;16077032;2978;;186;Europe/Berlin;2015-09-05;Germany;51.0532, 12.35445
2815523;Wagenfeld;Wagenfeld;Vagenfel'd,Vagenfeld,Wagenfeld,wa gen fei er de,Вагенфелд,Вагенфельд,瓦根费尔德;P;PPLA4;DE;Germany;;06;00;03251;03251044;7132;;40;Europe/Berlin;2011-04-25;Germany;52.55, 8.58333
2820905;Trunkelsberg;Trunkelsberg;Trunkel'sberg,Trunkelsberg,te lun ke er si bei ge,trwnklzbrg,Трункелсберг,Трункельсберг,Տրունկելսբերգ,ترونکلزبرگ,特伦克尔斯贝格;P;PPLA4;DE;Germany;;02;097;09778;09778202;1810;;626;Europe/Berlin;2011-04-25;Germany;48.0, 10.21667
2907416;Heimbuchenthal;Heimbuchenthal;Gajmbukhental',Haymbuxental,Khajmbukhental,Khajmbukhental',hai en bu heng ta er,haimubuhyentaru,Гаймбухенталь,Хаймбухенталь,Хајмбухентал,Հայմբուխենտալ,ハイムブーヒェンタール,海恩布亨塔尔;P;PPLA4;DE;Germany;;02;096;09671;09671127;2219;;230;Europe/Berlin;2011-04-25;Germany;49.88917, 9.29556
2953418;Bad Kösen;Bad Koesen;Bad Kezen,Bad Kosen,Bad Kösen,Bad-Kjozen,Cusne,Kosen,Kösen,Бад Кезен,Бад-Кёзен,Бад-Көзен,バート・ケーゼン;P;PPLX;DE;Germany;;14;00;15084;15084355;5522;;118;Europe/Berlin;2020-11-19;Germany;51.13431, 11.72203
2855328;Passau;Passau;Bassa,Batavia Bavariae,Båssa,Pasau,Pasavia,Pasawa,Pasov,Passaou,Passau,Passavia,ZPF,pa shao,pasau,pasaw,passau,phas sea,psaw,Πάσσαου,Пасау,Пассау,پاساو,پساؤ,พาสเซา,パッサウ,帕绍,파사우;P;PPLA3;DE;Germany;;02;092;09262;09262000;50560;;366;Europe/Berlin;2019-09-05;Germany;48.5665, 13.43122
2906490;Hendungen;Hendungen;Gendungen,Hendungen,Khendungen,heng dui gen,Гендунген,Хендунген,Հենդունգեն,亨敦根;P;PPLA4;DE;Germany;;02;096;09673;09673130;1015;;307;Europe/Berlin;2012-08-16;Germany;50.39462, 10.35204
2924313;Frohburg;Frohburg;Froburg,Froburga,Frohburg,Frokhburg,frhbwrg,frwhbwrgh,fu luo bao,Фробург,Фрохбург,فرهبورگ,فروهبورغ,弗罗堡;P;PPL;DE;Germany;;13;00;14729;14729140;7983;;167;Europe/Berlin;2015-09-05;Germany;51.05719, 12.55746
2959771;Abtsdorf;Abtsdorf;;P;PPL;DE;Germany;;14;00;15091;15091375;1457;;103;Europe/Berlin;2015-09-04;Germany;51.88984, 12.72526
3207130;Kromsdorf;Kromsdorf;Kromsdorf,ke luo mu si duo fu,Кромсдорф,克罗姆斯多夫;P;PPLA4;DE;Germany;;15;00;16071;16071101;1577;;207;Europe/Berlin;2019-03-07;Germany;51.0, 11.36667
2856217;Ostrau;Ostrau;Ostrau;P;PPL;DE;Germany;;13;00;14729;14729160;4390;;184;Europe/Berlin;2018-12-04;Germany;51.20639, 12.88421
2873464;Marienwerder;Marienwerder;;P;PPLA4;DE;Germany;;11;00;12060;12060154;1728;;36;Europe/Berlin;2011-04-25;Germany;52.84208, 13.59927
2879666;Leezen;Leezen;Leezen;P;PPLA4;DE;Germany;;10;00;01060;01060053;1677;;29;Europe/Berlin;2011-04-25;Germany;53.86667, 10.25
2895131;Jatznick;Jatznick;Jatznick;P;PPL;DE;Germany;;12;00;13075;13075055;2082;;21;Europe/Berlin;2015-09-05;Germany;53.57951, 13.93955
2934009;Ebergötzen;Ebergoetzen;Ebergecen,Ehbergjotcen,ai bo ge cen,ebagettsuen,Ебергецен,Эбергётцен,エーバーゲッツェン,埃伯格岑;P;PPLA4;DE;Germany;;06;00;03159;03159011;1886;;192;Europe/Berlin;2018-04-14;Germany;51.57096, 10.10632
2953386;Bad Oeynhausen;Bad Oeynhausen;Bad Oajnkhauzen,Bad Oeyhausen,Bad Oeynhausen,Bad-Ehjnkhauzen,Bad-Ejngauzen,ba te en hao sen,bad awynhawzn,bateuoeinhaujen,Бад Оајнхаузен,Бад-Ейнгаузен,Бад-Эйнхаузен,باد أوينهاوزن,باد اوین‌هاوزن,バート・エーンハウゼン,巴特恩豪森,바트외인하우젠;P;PPL;DE;Germany;;07;057;05770;05770004;49513;;58;Europe/Berlin;2015-09-04;Germany;52.20699, 8.80365
2911739;Haiterbach;Haiterbach;Gajterbakh,Haiterbach,Hayterbax,Khajterbakh,hai te er ba he,haytrbakh,haytrzbakh,Гайтербах,Хайтербах,Хајтербах,Հայտերբախ,هايترباخ,هایترزباخ,海特尔巴赫;P;PPL;DE;Germany;;01;082;08235;08235032;5820;;562;Europe/Berlin;2013-02-16;Germany;48.52066, 8.64435
2890770;Kirchanschöring;Kirchanschoring;Anscharing,Kirkhanshering,Kirkhanshjoring,ji xian she ling,kyrshanshwryng,Кирханшеринг,Кирханшёринг,Кірханшерінг,Քիրխանշյորինգ,کیرشانشورینگ,基先舍灵;P;PPLA4;DE;Germany;;02;091;09189;09189127;2980;;417;Europe/Berlin;2011-07-31;Germany;47.95303, 12.83435
2944426;Breklum;Breklum;Braeaeklem,Breklum,Brääklem,bu lei ke lu mu,Бреклум,布雷克卢姆;P;PPLA4;DE;Germany;;10;00;01054;01054020;2365;;8;Europe/Berlin;2011-04-25;Germany;54.6, 8.98333
11670105;Kraichtal;Kraichtal;;P;PPLA4;DE;Germany;;01;082;08215;08215097;14416;198;218;Europe/Berlin;2017-08-30;Germany;49.14623, 8.73276
2913445;Gusterath;Gusterath;;P;PPLA4;DE;Germany;;08;00;07235;07235037;1909;;335;Europe/Berlin;2011-04-25;Germany;49.7, 6.71667
2940613;Buttenheim;Buttenheim;Butenkhajm,Buttengajm,Buttenkhajm,bu teng hai mu,buttenhaimu,Бутенхајм,Буттенгайм,Буттенхайм,Բութենհայմ,ブッテンハイム,布滕海姆;P;PPL;DE;Germany;;02;094;09471;09471123;3242;;270;Europe/Berlin;2013-02-19;Germany;49.80365, 11.03002
12510668;Günthersleben-Wechmar;Guenthersleben-Wechmar;;P;PPL;DE;Germany;;15;00;16067;16067089;2999;;297;Europe/Berlin;2023-01-26;Germany;50.89413, 10.76979
2806799;Wolfhagen;Wolfhagen;Vol'fgagen,Vol'fkhagen,Volfkhagen,Wolfhagen,fwlfhaghn,vuorufuhagen,wlfhagn,wo er fu ha gen,Волфхаген,Вольфгаген,Вольфхаген,فولفهاغن,ولفهاگن,ヴォルフハーゲン,沃尔夫哈根;P;PPL;DE;Germany;;05;066;06633;06633028;13266;;283;Europe/Berlin;2015-09-05;Germany;51.32611, 9.17015
2811011;Wenzendorf;Wenzendorf;;P;PPLA4;DE;Germany;;06;00;03353;03353039;1262;;53;Europe/Berlin;2017-07-16;Germany;53.34948, 9.77234
2840393;Scharbeutz;Scharbeutz;Scharbeutz,Sharbojc,sha er bo yi ci,Шарбойц,Шарбојц,沙尔博伊茨;P;PPLA4;DE;Germany;;10;00;01055;01055044;12087;;-2;Europe/Berlin;2011-07-31;Germany;54.03333, 10.75
2851746;Pulheim;Pulheim;Pul'gajm,Pul'khajm,Pulheim,Pulkhajm,Pullem,bwlhaym,pu er hai mu,pwlhaym,Пулхајм,Пульгайм,Пульхайм,بولهايم,پولهایم,普爾海姆;P;PPL;DE;Germany;;07;053;05362;05362036;53762;;47;Europe/Berlin;2015-09-04;Germany;50.99965, 6.80632
2908411;Hecklingen;Hecklingen;Hecklingen,Kheklingen,hei ke lin gen,hklynghn,hklyngn,Хеклинген,هكلينغن,هکلینگن,黑克林根;P;PPL;DE;Germany;;14;00;15089;15089175;3969;;81;Europe/Berlin;2015-09-05;Germany;51.84705, 11.53416
2924428;Frielendorf;Frielendorf;Freilendorf,Frielendorf,Frilendorf,fu li lun duo fu,furirendorufu,Фрилендорф,Фрілендорф,フリーレンドルフ,弗里伦多夫;P;PPLA4;DE;Germany;;05;066;06634;06634004;8239;;233;Europe/Berlin;2017-04-26;Germany;50.97073, 9.32269
2927273;Fell;Fell;;P;PPLA4;DE;Germany;;08;00;07235;07235022;2342;;195;Europe/Berlin;2011-04-25;Germany;49.76667, 6.78333
2931097;Ellefeld;Ellefeld;;P;PPLA4;DE;Germany;;13;00;14523;14523090;3077;;504;Europe/Berlin;2014-01-02;Germany;50.48367, 12.3888
2953409;Bad Liebenstein;Bad Liebenstein;Bad Libenshtajn,Bad Liebenstein,Bad-Libenshtajn,ba de li ben si tai yin,Бад Либенштајн,Бад-Либенштайн,باد لیبن‌اشتاین,巴德利本斯泰因;P;PPL;DE;Germany;;15;00;16063;16063099;4094;;326;Europe/Berlin;2015-09-05;Germany;50.81569, 10.35123
2948267;Bischofswerda;Bischofswerda;Bishofsverda,Biskopicy,Bisofsverda,Bišofsverda,bi shao fu si wei er da,byshwfsfyrda,byshwfzwrda,byswpswwrdh,Бишофсверда,Бішофсверда,בישופסוורדה,بيشوفسفيردا,بیشوفزوردا,比绍夫斯韦尔达;P;PPL;DE;Germany;;13;00;14625;14625040;10788;;293;Europe/Berlin;2021-11-15;Germany;51.12771, 14.17974
2953374;Bad Rappenau;Bad Rappenau;Bad Rapenau,Bad Rappenau,Bad-Rappenau,ba te la po nao,bad rabnaw,bad rapnwa,Бад Рапенау,Бад-Раппенау,باد رابناو,باد راپنوا,バート・ラッペナウ,巴特拉珀瑙;P;PPL;DE;Germany;;01;081;08125;08125006;20581;;232;Europe/Berlin;2013-02-15;Germany;49.23848, 9.1018
